Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,18.668501,18.910976,18.328222,18.379162,17.342672,4334278
2015-01-05,18.324146,18.485117,17.635439,17.674152,16.677420,5858844
2015-01-06,17.729168,18.071484,17.584497,17.670076,16.673576,4777350
2015-01-07,17.788258,18.051107,17.558008,17.641550,16.646656,3870233
2015-01-08,17.796408,18.348598,17.727131,18.287470,17.256149,5964108
2015-01-09,18.195778,18.236530,17.649700,17.820860,16.815853,5620049
2015-01-12,17.824936,17.869762,17.164751,17.374624,16.394783,5148798
2015-01-13,17.280895,17.437790,17.095472,17.319609,16.342873,5324845
2015-01-14,16.973217,16.973217,16.158176,16.300810,15.381527,11934094
2015-01-15,16.506607,16.747044,15.791409,16.551434,15.618016,7324018
2015-01-16,16.524944,17.126038,16.463818,17.079172,16.115995,6792581
2015-01-19,17.103624,17.126038,16.655352,16.936541,15.981406,3614336
2015-01-20,17.073059,17.527445,16.920240,17.494843,16.508224,6461301
2015-01-21,17.645626,17.735279,17.236069,17.723055,16.723564,6549659
2015-01-22,17.747505,18.254868,17.680265,17.829010,16.823545,7033874
2015-01-23,18.014431,18.016468,16.810209,16.920240,15.966025,9181452
2015-01-26,16.810209,17.276819,16.537170,17.272745,16.298651,5602517
2015-01-27,17.401114,17.472429,16.810209,17.115849,16.150600,4911758
2015-01-28,17.380737,17.515219,17.054722,17.238106,16.265966,5148422
2015-01-29,17.095472,17.242182,16.875412,16.973217,16.016014,3711396
2015-01-30,16.973217,17.319609,16.852999,17.244219,16.271734,4965395
2015-02-02,17.305346,17.513182,17.099548,17.401114,16.419781,5096666
2015-02-03,17.423527,18.169289,17.423527,18.134649,17.111946,7432930
2015-02-04,18.220228,18.338409,17.515219,17.737318,16.737024,6484398
2015-02-05,17.582460,18.040920,17.372587,18.040920,17.023504,4482796
2015-02-06,18.010357,18.228380,17.802521,17.808634,16.804317,4533938
2015-02-09,17.743431,18.448441,17.678226,18.385275,17.348438,6078618
2015-02-10,18.379162,18.479006,17.959415,18.104086,17.083107,5473137
2015-02-11,18.093899,18.236530,17.721018,17.800484,16.796629,6249680
2015-02-12,17.869762,18.745930,17.798447,18.574772,17.527248,8281717
2015-02-13,17.798447,19.560970,17.678226,19.505957,18.405920,12663034
2015-02-16,19.937927,20.107048,19.591536,20.056108,18.925045,8276668
2015-02-17,19.846235,20.186514,19.438715,19.746391,18.632795,6741571
2015-02-18,19.776957,20.274132,19.764730,20.123348,18.988493,5593975
2015-02-19,20.066296,20.096861,19.318497,19.717867,18.605883,6589535
2015-02-20,19.764730,19.933851,19.603760,19.634323,18.527048,6007445
2015-02-23,19.866611,19.925701,19.359247,19.477428,18.379000,4908550
2015-02-24,19.546707,19.815672,19.377586,19.748430,18.634718,5109361
2015-02-25,19.807522,19.886988,19.493731,19.597649,18.492441,4046757
2015-02-26,19.630249,20.064259,19.630249,19.913477,18.790459,4021963
2015-02-27,19.840122,20.025543,19.740280,19.907364,18.784691,3702946
2015-03-02,20.009243,20.111122,19.383699,19.599686,18.494364,4560219
2015-03-03,19.711754,19.933851,19.569120,19.611912,18.505901,4484456
2015-03-04,19.630249,19.715828,19.300158,19.446865,18.350164,5304957
2015-03-05,19.479467,19.785107,18.849848,19.744354,18.630875,5371056
2015-03-06,19.770844,20.426950,19.664888,20.086672,18.953884,8507645
2015-03-09,20.031656,20.447327,19.970530,20.437140,19.284592,5294583
2015-03-10,20.376011,20.416763,19.766769,19.899214,18.777000,6121589
2015-03-11,19.899214,20.098898,19.752504,20.017393,18.888514,5266259
2015-03-12,20.121311,20.176327,19.868649,19.897175,18.775074,5043742
2015-03-13,19.937927,19.964417,19.410189,19.481504,18.382849,4664694
2015-03-16,19.683228,19.903288,19.560970,19.579309,18.475138,4542461
2015-03-17,19.603760,19.762693,19.257368,19.365360,18.273254,5718191
2015-03-18,19.357210,19.389812,18.888561,19.175863,18.094442,6764285
2015-03-19,19.601723,19.634323,18.860037,18.906900,17.840651,6060180
2015-03-20,18.847811,19.202353,18.560509,19.057684,17.982929,8255458
2015-03-23,18.978216,19.031195,18.595148,18.884487,17.819500,6225356
2015-03-24,18.851887,19.112700,18.750006,18.929314,17.861797,4447056
2015-03-25,18.935427,19.357210,18.888561,19.247181,18.161739,5541555
2015-03-26,18.913013,19.357210,18.593109,18.754082,17.696449,6085296
2015-03-27,18.352673,18.597185,17.908476,17.949228,16.936983,10959505
2015-03-30,18.148912,18.222267,17.843273,18.053146,17.035040,5477642
2015-03-31,18.134649,18.234491,17.871799,17.879950,16.871613,5646406
2015-04-01,17.829010,18.012394,17.507069,17.651737,16.656269,7224156
2015-04-02,17.625250,17.702679,17.452053,17.655813,16.660116,4045104
2015-04-07,17.951265,18.401575,17.930889,18.356749,17.321522,6661901
2015-04-08,18.311920,18.597185,18.177441,18.199854,17.173475,5655008
2015-04-09,18.318033,18.354712,17.831047,18.134649,17.111946,4454037
2015-04-10,18.277283,18.481043,18.134649,18.393425,17.356129,4400693
2015-04-13,18.397501,18.403612,18.085749,18.100012,17.079262,4142728
2015-04-14,18.112236,18.703140,18.053146,18.703140,17.648378,6493489
2015-04-15,18.941540,19.296083,18.778532,19.241068,18.155970,7614881
2015-04-16,19.296083,19.391850,18.725554,18.741856,17.684910,5259241
2015-04-17,18.548283,18.678688,17.930889,18.155025,17.131174,9539651
2015-04-20,18.165215,18.393425,18.036844,18.279320,17.248459,4130107
2015-04-21,18.409725,18.430101,17.849386,18.002207,16.986975,4821229
2015-04-22,18.014431,18.283396,17.831047,18.267094,17.236921,4612961
2015-04-23,18.250793,18.550322,17.900326,18.521793,17.477261,5041837
2015-04-24,18.847811,19.654699,18.829472,19.471315,18.373234,10104688
2015-04-27,19.607836,20.200777,19.560970,20.131498,18.996185,9386290
2015-04-28,20.045919,20.477892,19.864573,20.386200,19.236525,7709394
2015-04-29,20.029619,20.058146,19.367399,19.507994,18.407845,8014491
2015-04-30,19.442789,19.599686,19.296083,19.391850,18.298248,6338741
2015-05-04,19.585423,19.868649,19.440752,19.683228,18.573195,3667323
2015-05-05,19.632286,20.007204,19.571159,19.732128,18.619335,4947305
2015-05-06,19.660812,19.821783,19.314421,19.503918,18.403997,5335159
2015-05-07,18.949690,19.171789,18.552359,19.008781,17.936781,7549691
2015-05-08,19.039345,19.196239,18.776493,19.155487,18.471212,5888117
2015-05-11,19.179939,19.428528,19.169750,19.357210,18.665730,3392659
2015-05-12,19.196239,20.094822,18.990442,20.041845,19.325907,8369280
2015-05-13,20.090748,20.249680,19.705641,19.801409,19.094059,4598575
2015-05-14,19.603760,21.231804,19.463165,20.936352,20.188459,11371406
2015-05-15,21.252180,21.659700,21.089172,21.140112,20.384943,8494114
2015-05-18,21.140112,21.313309,20.498266,20.630711,19.893738,4764785
2015-05-19,20.742779,20.875223,20.467703,20.539019,19.805321,4098046
2015-05-20,20.508455,20.752968,20.276169,20.661276,19.923210,2800247
2015-05-21,20.651087,20.936352,20.518642,20.600147,19.864264,3250733
2015-05-22,20.569584,20.712215,20.363787,20.406574,19.677608,2665317
2015-05-25,20.610334,20.712215,20.437140,20.539019,19.805321,906075
2015-05-26,20.691839,20.966915,20.488079,20.600147,19.864264,4760410
2015-05-27,20.671463,20.885412,20.447327,20.824284,20.080395,3157527
2015-05-28,20.722403,20.722403,20.174290,20.386200,19.657961,3908500
2015-05-29,20.416763,20.477892,19.760656,19.760656,19.054764,5640556
2015-06-01,20.003130,20.151875,19.569120,19.630249,18.929016,4580614
2015-06-02,19.723980,20.569584,19.709717,20.376011,19.648134,8139544
2015-06-03,20.477892,21.109549,20.251719,20.997480,20.247406,6033902
2015-06-04,20.712215,20.803907,20.376011,20.376011,19.648134,4507367
2015-06-05,20.172251,20.406574,19.836046,20.149837,19.430042,6398513
2015-06-08,20.100935,20.141687,19.719904,19.793257,19.086197,4385107
2015-06-09,19.730091,20.345448,19.522257,20.182440,19.461479,5884883
2015-06-10,19.970530,20.528831,19.970530,20.386200,19.657961,5952453
2015-06-11,20.274132,20.467703,19.717867,19.834009,19.125496,6203190
