Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,340.579987,342.920013,333.839996,333.989990,333.989990,307877100
2015-01-06,334.320007,335.820007,330.850006,331.609985,331.609985,281556300
2015-01-07,332.410004,335.500000,331.649994,333.200012,333.200012,282695700
2015-01-08,335.149994,342.890015,335.149994,342.350006,342.350006,329959200
2015-01-09,342.049988,342.700012,336.279999,337.929993,337.929993,357016800
2015-01-12,338.489990,341.549988,336.630005,339.869995,339.869995,271740800
2015-01-13,338.850006,345.619995,338.260010,344.769989,344.769989,297805200
2015-01-14,342.600006,344.670013,338.309998,339.670013,339.670013,356539300
2015-01-15,341.500000,353.309998,332.779999,348.450012,348.450012,439614200
2015-01-16,349.309998,352.489990,345.220001,352.399994,352.399994,348708200
2015-01-19,351.329987,355.010010,351.329987,353.179993,353.179993,289086200
2015-01-20,353.739990,357.420013,353.739990,355.959991,355.959991,341276400
2015-01-21,356.570007,358.119995,353.290009,358.119995,358.119995,375177100
2015-01-22,358.920013,364.510010,357.540009,364.049988,364.049988,456948500
2015-01-23,365.500000,372.309998,365.500000,370.369995,370.369995,451459400
2015-01-26,369.679993,372.390015,368.480011,372.390015,372.390015,298459200
2015-01-27,372.260010,372.779999,367.079987,368.700012,368.700012,322338700
2015-01-28,370.350006,371.420013,366.700012,369.079987,369.079987,378340100
2015-01-29,367.760010,369.790009,366.279999,368.760010,368.760010,394003600
2015-01-30,369.109985,370.179993,366.309998,367.049988,367.049988,372882700
2015-02-02,366.920013,368.029999,364.260010,367.279999,367.279999,341659900
2015-02-03,368.350006,372.160004,368.350006,370.279999,370.279999,425929600
2015-02-04,370.500000,372.100006,369.079987,372.100006,372.100006,360664700
2015-02-05,371.609985,372.619995,369.970001,372.510010,372.510010,309158600
2015-02-06,372.209991,373.890015,370.929993,373.309998,373.309998,282566800
2015-02-09,371.640015,371.640015,368.040009,370.549988,370.549988,285013500
2015-02-10,371.049988,373.839996,369.309998,372.940002,372.940002,311941700
2015-02-11,372.890015,373.500000,371.140015,372.040009,372.040009,281828700
2015-02-12,371.600006,375.540009,371.429993,374.829987,374.829987,361039700
2015-02-13,375.190002,377.959991,375.190002,377.070007,377.070007,371866800
